source_dataset,source_row_id,property_family,governorate,delegation,city,location,surface_m2,rooms,bathrooms,price_tnd
property_prices_in_tunisia,4,apartment,Ariana,Ariana Ville,Ariana Ville,Ariana Ville,113.0,2.0,2.0,170000.0
property_prices_in_tunisia,10,house,Ariana,La Soukra,La Soukra,La Soukra,1208.0,4.0,2.0,700000.0
property_prices_in_tunisia,13,apartment,Ariana,Jardins D'el Menzah,Jardins D'el Menzah,Jardins D'el Menzah,138.0,3.0,2.0,340000.0
property_prices_in_tunisia,14,house,Ariana,Raoued,Raoued,Raoued,150.0,2.0,1.0,120000.0
property_prices_in_tunisia,18,apartment,Ariana,Ennasr,Ennasr,Ennasr,80.0,2.0,1.0,230000.0
property_prices_in_tunisia,21,apartment,Ariana,Ennasr,Ennasr,Ennasr,200.0,4.0,2.0,440000.0
property_prices_in_tunisia,23,house,Ariana,Ghazela,Ghazela,Ghazela,150.0,2.0,1.0,170000.0
property_prices_in_tunisia,25,apartment,Ariana,Borj Louzir,Borj Louzir,Borj Louzir,89.0,2.0,1.0,136000.0
property_prices_in_tunisia,26,apartment,Ariana,La Soukra,La Soukra,La Soukra,94.0,2.0,1.0,185000.0
property_prices_in_tunisia,27,apartment,Ariana,Ghazela,Ghazela,Ghazela,79.0,1.0,1.0,146150.0
property_prices_in_tunisia,29,house,Ariana,La Soukra,La Soukra,La Soukra,1200.0,6.0,4.0,1150000.0
property_prices_in_tunisia,30,house,Ariana,Ghazela,Ghazela,Ghazela,320.0,4.0,2.0,265000.0
property_prices_in_tunisia,32,apartment,Ariana,Ennasr,Ennasr,Ennasr,157.0,3.0,1.0,340000.0
property_prices_in_tunisia,34,house,Ariana,Ennasr,Ennasr,Ennasr,220.0,3.0,2.0,490000.0
property_prices_in_tunisia,35,apartment,Ariana,La Soukra,La Soukra,La Soukra,105.0,2.0,1.0,225000.0
property_prices_in_tunisia,37,house,Ariana,Chotrana,Chotrana,Chotrana,400.0,5.0,2.0,620000.0
property_prices_in_tunisia,39,apartment,Ariana,Ennasr,Ennasr,Ennasr,130.0,3.0,1.0,320000.0
property_prices_in_tunisia,48,house,Ariana,La Soukra,La Soukra,La Soukra,180.0,4.0,2.0,750000.0
property_prices_in_tunisia,49,house,Ariana,La Soukra,La Soukra,La Soukra,265.0,5.0,3.0,470000.0
property_prices_in_tunisia,53,apartment,Ariana,Ennasr,Ennasr,Ennasr,120.0,2.0,1.0,270000.0
property_prices_in_tunisia,55,apartment,Ariana,Borj Louzir,Borj Louzir,Borj Louzir,100.0,3.0,2.0,170000.0
property_prices_in_tunisia,56,apartment,Ariana,Ennasr,Ennasr,Ennasr,74.0,2.0,1.0,180000.0
property_prices_in_tunisia,57,apartment,Ariana,Ariana,Ariana,Ariana,90.0,2.0,1.0,205000.0
property_prices_in_tunisia,61,apartment,Ariana,Jardins D'el Menzah,Jardins D'el Menzah,Jardins D'el Menzah,151.0,3.0,2.0,225000.0
property_prices_in_tunisia,62,house,Ariana,La Soukra,La Soukra,La Soukra,1000.0,5.0,3.0,1000000.0
property_prices_in_tunisia,63,apartment,Ariana,Ennasr,Ennasr,Ennasr,145.0,4.0,2.0,410000.0
property_prices_in_tunisia,64,apartment,Ariana,Ennasr,Ennasr,Ennasr,126.0,4.0,1.0,250000.0
property_prices_in_tunisia,71,house,Ariana,Chotrana,Chotrana,Chotrana,150.0,1.0,1.0,68000.0
property_prices_in_tunisia,72,house,Ariana,Sidi Thabet,Sidi Thabet,Sidi Thabet,1000.0,5.0,1.0,400000.0
property_prices_in_tunisia,74,house,Ariana,Raoued,Raoued,Raoued,244.0,1.0,1.0,88000.0
property_prices_in_tunisia,76,house,Ariana,Raoued,Raoued,Raoued,125.0,3.0,1.0,140000.0
property_prices_in_tunisia,79,house,Ariana,Ariana,Ariana,Ariana,130.0,6.0,2.0,210000.0
property_prices_in_tunisia,85,house,Ariana,Raoued,Raoued,Raoued,200.0,3.0,1.0,90000.0
property_prices_in_tunisia,88,apartment,Ariana,Jardins D'el Menzah,Jardins D'el Menzah,Jardins D'el Menzah,105.0,2.0,1.0,230000.0
property_prices_in_tunisia,89,house,Ariana,Raoued,Raoued,Raoued,138.0,1.0,1.0,80000.0
property_prices_in_tunisia,91,house,Ariana,Ghazela,Ghazela,Ghazela,103.0,2.0,1.0,115000.0
property_prices_in_tunisia,112,apartment,Ariana,Borj Louzir,Borj Louzir,Borj Louzir,163.0,3.0,1.0,340000.0
