property_type,bedrooms,bathrooms,surface_m2,price,city,neighborhood,log_price
Apartment,2.0,2.0,113.0,170000.0,Ariana,Ariana Ville,5.230448921378274
Villa,4.0,2.0,1208.0,700000.0,Ariana,La Soukra,5.845098040014257
Apartment,3.0,2.0,138.0,340000.0,Ariana,Jardins D'el Menzah,5.531478917042255
Villa,2.0,1.0,150.0,120000.0,Ariana,Raoued,5.079181246047625
Apartment,2.0,1.0,80.0,230000.0,Ariana,Ennasr,5.361727836017593
Apartment,4.0,2.0,200.0,440000.0,Ariana,Ennasr,5.643452676486188
Villa,4.0,2.0,130.0,125000.0,Ariana,Autres villes,5.096910013008056
Villa,2.0,1.0,150.0,170000.0,Ariana,Ghazela,5.230448921378274
Apartment,4.0,1.0,160.0,310000.0,Ariana,Autres villes,5.491361693834273
Apartment,2.0,1.0,89.0,136000.0,Ariana,Borj Louzir,5.133538908370218
Apartment,2.0,1.0,94.0,185000.0,Ariana,La Soukra,5.267171728403014
Apartment,1.0,1.0,79.0,146150.0,Ariana,Ghazela,5.164798819693456
Villa,6.0,4.0,1200.0,1150000.0,Ariana,La Soukra,6.060697840353612
Villa,4.0,2.0,320.0,265000.0,Ariana,Ghazela,5.423245873936808
Apartment,3.0,1.0,157.0,340000.0,Ariana,Ennasr,5.531478917042255
Villa,3.0,2.0,220.0,490000.0,Ariana,Ennasr,5.690196080028514
Apartment,2.0,1.0,105.0,225000.0,Ariana,La Soukra,5.352182518111363
Villa,5.0,2.0,400.0,620000.0,Ariana,Chotrana,5.792391689498253
Apartment,3.0,1.0,130.0,320000.0,Ariana,Ennasr,5.505149978319906
Villa,4.0,2.0,180.0,750000.0,Ariana,La Soukra,5.8750612633917
Villa,5.0,3.0,265.0,470000.0,Ariana,La Soukra,5.672097857935717
Apartment,2.0,1.0,120.0,270000.0,Ariana,Ennasr,5.431363764158987
Apartment,3.0,2.0,100.0,170000.0,Ariana,Borj Louzir,5.230448921378274
Apartment,2.0,1.0,74.0,180000.0,Ariana,Ennasr,5.2552725051033065
