id_annonce;source_dataset;titre;type_bien;type_transaction;prix_tnd;prix_texte_brut;gouvernorat;ville;quartier;adresse_brute;surface_habitable_m2;surface_terrain_m2;nb_pieces;nb_chambres;nb_salles_bain;meuble;terrasse;securite;latitude;longitude;zone_littorale;moyens_paiement;telephone;date_publication;date_extraction;url_annonce;log_prix;piscine;garage;climatisation;jardin
1;tayara.tn;À VENDRE – Opportunité Rare !;villa;Vente;420000.0;420000 DT;La Manouba;La Manouba;Non précisé;La Manouba, La Manouba;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non précisé;Non précisé;Non précisé;Non precise;98696704;Non précisé;07/07/2026 19:27;https://www.tayara.tn/item/6a4d36227b31d9554f387a34/;Non précisé;Non;Non;Non;Non
3;tayara.tn;??EL MENZAH 1 - UNE VILLA PRESTIGIEUSE À VENDRE;appartement;Vente;Non précisé;Non précisé;Tunis;El Menzah 1;Non précisé;Tunis, El Menzah 1;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non précisé;Non précisé;Non précisé;Non precise;Non précisé;Non précisé;07/07/2026 19:27;https://www.tayara.tn/item/6a4d35c57b31d9554f387a02/;Non précisé;Non;Non;Non;Non
4;tayara.tn;?? ENNASR – APPARTEMENT S+4 À VENDRE;appartement;Vente;620.0;620 DT;Ariana;Cité Ennasr 2;Non précisé;Ariana, Cité Ennasr 2;Non précisé;Non précisé;4.0.0;Non précisé;Non précisé;Non;Non;Non;Non précisé;Non précisé;Non précisé;Non precise;Non précisé;Non précisé;07/07/2026 19:27;https://www.tayara.tn/item/6a4d34ec4956ba003a3b82e4/;Non précisé;Non;Non;Non;Non
7;tayara.tn;?? YASMINE HAMMAMET SUD – IMMEUBLE DE RAPPORT R2 (VILLA + 5 APPARTEMENTS S2) À VENDRE;villa;Vente;Non précisé;Non précisé;Nabeul;Hammamet;Non précisé;Nabeul, Hammamet;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;Oui;Non;Non;Non précisé;Non précisé;Non précisé;Paiement echelonne | Titre foncier;Non précisé;Non précisé;07/07/2026 19:27;https://www.tayara.tn/item/6a4d34807b31d9554f387945/;Non précisé;Non;Non;Non;Non
11;tayara.tn;Appartement Ain Zaghouan Nord;appartement;Vente;780000.0;780000 DT;Tunis;Ain Zaghouan Nord;Non précisé;Tunis, Ain Zaghouan Nord;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non précisé;Non précisé;Non précisé;Non precise;Non précisé;Non précisé;07/07/2026 19:27;https://www.tayara.tn/item/6a21943db257aa5aca4bb6ae/;Non précisé;Non;Non;Non;Non
14;tayara.tn;Villa à vendre à Raoued;villa;Vente;320000.0;320000 DT;Ariana;Raoued;Non précisé;Ariana, Raoued;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non précisé;Non précisé;Non précisé;Non precise;Non précisé;Non précisé;07/07/2026 19:27;https://www.tayara.tn/item/6a4bd5c07b31d9554f379c10/;Non précisé;Non;Non;Non;Non
15;tayara.tn;?? LA SOUKRA – TRIPLEX JUMELÉ AVEC ASCENSEUR PRIVATIF & PISCINE À VENDRE;villa;Vente;Non précisé;Non précisé;Ariana;La Soukra;Non précisé;Ariana, La Soukra;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non précisé;Non précisé;Non précisé;Non precise;Non précisé;Non précisé;07/07/2026 19:27;https://www.tayara.tn/item/6a4d33784956ba003a3b8202/;Non précisé;Oui;Non;Non;Non
17;tayara.tn;Appartements haut standing en cours de construction à Mansoura Kelibi;appartement;Vente;320000.0;320000 DT;Nabeul;Kélibia;Non précisé;Nabeul, Kélibia;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non précisé;Non précisé;Non précisé;Non precise;Non précisé;Non précisé;07/07/2026 19:27;https://www.tayara.tn/item/690b639b8e4e0e4acb5ddab0/;Non précisé;Non;Non;Non;Non
29;tayara.tn;À vendre Villa avec piscine + 5 Appartement s+2 à Yasmine hamammet;villa;Vente;1.3;1.3 DT;Nabeul;Yasmine Hammamet;Non précisé;Nabeul, Yasmine Hammamet;Non précisé;Non précisé;2.0.0;Non précisé;Non précisé;Non;Non;Non;Non précisé;Non précisé;Non précisé;Titre foncier;Non précisé;Non précisé;07/07/2026 19:27;https://www.tayara.tn/item/6a4cd98e4956ba003a3b35d2/;Non précisé;Oui;Non;Non;Non
43;tayara.tn;À VENDRE – Appartement S+2 à Sahloul 3;appartement;Vente;165.0;165 DT;Sousse;Sahloul;Non précisé;Sousse, Sahloul;Non précisé;Non précisé;2.0.0;Non précisé;Non précisé;Non;Non;Non;Non précisé;Non précisé;Non précisé;Non precise;Non précisé;Non précisé;07/07/2026 19:27;https://www.tayara.tn/item/6a3ee30ab3da6e91fdbe084e/;Non précisé;Non;Non;Non;Non
