id_annonce,source_dataset,titre,type_bien,prix_tnd,prix_texte_brut,gouvernorat,ville,quartier,adresse_brute,surface_habitable_m2,surface_terrain_m2,nb_pieces,nb_chambres,nb_salles_bain,nb_etages,annee_construction,etat_bien,piscine,garage,jardin,climatisation,meuble,terrasse,securite,latitude,longitude,zone_littorale,moyens_paiement,telephone,date_publication,date_extraction,url_annonce,log_prix
1,2026_property_prices_in_tunisia,,apartment,170000.0,,Ariana,Ariana Ville,Ariana Ville,Ariana Ville,113.0,,2.0,,2.0,,,,,,,,,,,,,,,,2026,,,
2,2026_property_prices_in_tunisia,,house,700000.0,,Ariana,La Soukra,La Soukra,La Soukra,1208.0,,4.0,,2.0,,,,,,,,,,,,,,,,2026,,,
3,2026_property_prices_in_tunisia,,apartment,340000.0,,Ariana,Jardins D'el Menzah,Jardins D'el Menzah,Jardins D'el Menzah,138.0,,3.0,,2.0,,,,,,,,,,,,,,,,2026,,,
4,2026_property_prices_in_tunisia,,house,120000.0,,Ariana,Raoued,Raoued,Raoued,150.0,,2.0,,1.0,,,,,,,,,,,,,,,,2026,,,
5,2026_property_prices_in_tunisia,,apartment,230000.0,,Ariana,Ennasr,Ennasr,Ennasr,80.0,,2.0,,1.0,,,,,,,,,,,,,,,,2026,,,
6,2026_property_prices_in_tunisia,,apartment,440000.0,,Ariana,Ennasr,Ennasr,Ennasr,200.0,,4.0,,2.0,,,,,,,,,,,,,,,,2026,,,
7,2026_property_prices_in_tunisia,,house,170000.0,,Ariana,Ghazela,Ghazela,Ghazela,150.0,,2.0,,1.0,,,,,,,,,,,,,,,,2026,,,
8,2026_property_prices_in_tunisia,,apartment,136000.0,,Ariana,Borj Louzir,Borj Louzir,Borj Louzir,89.0,,2.0,,1.0,,,,,,,,,,,,,,,,2026,,,
9,2026_property_prices_in_tunisia,,apartment,185000.0,,Ariana,La Soukra,La Soukra,La Soukra,94.0,,2.0,,1.0,,,,,,,,,,,,,,,,2026,,,
10,2026_property_prices_in_tunisia,,apartment,146150.0,,Ariana,Ghazela,Ghazela,Ghazela,79.0,,1.0,,1.0,,,,,,,,,,,,,,,,2026,,,
11,2026_property_prices_in_tunisia,,house,1150000.0,,Ariana,La Soukra,La Soukra,La Soukra,1200.0,,6.0,,4.0,,,,,,,,,,,,,,,,2026,,,
12,2026_property_prices_in_tunisia,,house,265000.0,,Ariana,Ghazela,Ghazela,Ghazela,320.0,,4.0,,2.0,,,,,,,,,,,,,,,,2026,,,
13,2026_property_prices_in_tunisia,,apartment,340000.0,,Ariana,Ennasr,Ennasr,Ennasr,157.0,,3.0,,1.0,,,,,,,,,,,,,,,,2026,,,
14,2026_property_prices_in_tunisia,,house,490000.0,,Ariana,Ennasr,Ennasr,Ennasr,220.0,,3.0,,2.0,,,,,,,,,,,,,,,,2026,,,
15,2026_property_prices_in_tunisia,,apartment,225000.0,,Ariana,La Soukra,La Soukra,La Soukra,105.0,,2.0,,1.0,,,,,,,,,,,,,,,,2026,,,
16,2026_property_prices_in_tunisia,,house,620000.0,,Ariana,Chotrana,Chotrana,Chotrana,400.0,,5.0,,2.0,,,,,,,,,,,,,,,,2026,,,
17,2026_property_prices_in_tunisia,,apartment,320000.0,,Ariana,Ennasr,Ennasr,Ennasr,130.0,,3.0,,1.0,,,,,,,,,,,,,,,,2026,,,
18,2026_property_prices_in_tunisia,,house,750000.0,,Ariana,La Soukra,La Soukra,La Soukra,180.0,,4.0,,2.0,,,,,,,,,,,,,,,,2026,,,
19,2026_property_prices_in_tunisia,,house,470000.0,,Ariana,La Soukra,La Soukra,La Soukra,265.0,,5.0,,3.0,,,,,,,,,,,,,,,,2026,,,
20,2026_property_prices_in_tunisia,,apartment,270000.0,,Ariana,Ennasr,Ennasr,Ennasr,120.0,,2.0,,1.0,,,,,,,,,,,,,,,,2026,,,
21,2026_property_prices_in_tunisia,,apartment,170000.0,,Ariana,Borj Louzir,Borj Louzir,Borj Louzir,100.0,,3.0,,2.0,,,,,,,,,,,,,,,,2026,,,
22,2026_property_prices_in_tunisia,,apartment,180000.0,,Ariana,Ennasr,Ennasr,Ennasr,74.0,,2.0,,1.0,,,,,,,,,,,,,,,,2026,,,
23,2026_property_prices_in_tunisia,,apartment,205000.0,,Ariana,Ariana,Ariana,Ariana,90.0,,2.0,,1.0,,,,,,,,,,,,,,,,2026,,,
24,2026_property_prices_in_tunisia,,apartment,225000.0,,Ariana,Jardins D'el Menzah,Jardins D'el Menzah,Jardins D'el Menzah,151.0,,3.0,,2.0,,,,,,,,,,,,,,,,2026,,,
25,2026_property_prices_in_tunisia,,house,1000000.0,,Ariana,La Soukra,La Soukra,La Soukra,1000.0,,5.0,,3.0,,,,,,,,,,,,,,,,2026,,,
26,2026_property_prices_in_tunisia,,apartment,410000.0,,Ariana,Ennasr,Ennasr,Ennasr,145.0,,4.0,,2.0,,,,,,,,,,,,,,,,2026,,,
27,2026_property_prices_in_tunisia,,apartment,250000.0,,Ariana,Ennasr,Ennasr,Ennasr,126.0,,4.0,,1.0,,,,,,,,,,,,,,,,2026,,,
28,2026_property_prices_in_tunisia,,house,68000.0,,Ariana,Chotrana,Chotrana,Chotrana,150.0,,1.0,,1.0,,,,,,,,,,,,,,,,2026,,,
29,2026_property_prices_in_tunisia,,house,400000.0,,Ariana,Sidi Thabet,Sidi Thabet,Sidi Thabet,1000.0,,5.0,,1.0,,,,,,,,,,,,,,,,2026,,,
30,2026_property_prices_in_tunisia,,house,88000.0,,Ariana,Raoued,Raoued,Raoued,244.0,,1.0,,1.0,,,,,,,,,,,,,,,,2026,,,
31,2026_property_prices_in_tunisia,,house,140000.0,,Ariana,Raoued,Raoued,Raoued,125.0,,3.0,,1.0,,,,,,,,,,,,,,,,2026,,,
32,2026_property_prices_in_tunisia,,house,210000.0,,Ariana,Ariana,Ariana,Ariana,130.0,,6.0,,2.0,,,,,,,,,,,,,,,,2026,,,
33,2026_property_prices_in_tunisia,,house,90000.0,,Ariana,Raoued,Raoued,Raoued,200.0,,3.0,,1.0,,,,,,,,,,,,,,,,2026,,,
34,2026_property_prices_in_tunisia,,apartment,230000.0,,Ariana,Jardins D'el Menzah,Jardins D'el Menzah,Jardins D'el Menzah,105.0,,2.0,,1.0,,,,,,,,,,,,,,,,2026,,,
35,2026_property_prices_in_tunisia,,house,80000.0,,Ariana,Raoued,Raoued,Raoued,138.0,,1.0,,1.0,,,,,,,,,,,,,,,,2026,,,
36,2026_property_prices_in_tunisia,,house,115000.0,,Ariana,Ghazela,Ghazela,Ghazela,103.0,,2.0,,1.0,,,,,,,,,,,,,,,,2026,,,
37,2026_property_prices_in_tunisia,,apartment,340000.0,,Ariana,Borj Louzir,Borj Louzir,Borj Louzir,163.0,,3.0,,1.0,,,,,,,,,,,,,,,,2026,,,
38,2026_property_prices_in_tunisia,,house,400000.0,,Ariana,Ghazela,Ghazela,Ghazela,120.0,,3.0,,1.0,,,,,,,,,,,,,,,,2026,,,
39,2026_property_prices_in_tunisia,,house,145000.0,,Ariana,Ghazela,Ghazela,Ghazela,280.0,,8.0,,3.0,,,,,,,,,,,,,,,,2026,,,
40,2026_property_prices_in_tunisia,,house,257000.0,,Ariana,Jardins D'el Menzah,Jardins D'el Menzah,Jardins D'el Menzah,188.0,,3.0,,2.0,,,,,,,,,,,,,,,,2026,,,
41,2026_property_prices_in_tunisia,,apartment,115000.0,,Ariana,Chotrana,Chotrana,Chotrana,76.0,,3.0,,1.0,,,,,,,,,,,,,,,,2026,,,
42,2026_property_prices_in_tunisia,,apartment,1100000.0,,Ariana,La Soukra,La Soukra,La Soukra,370.0,,4.0,,3.0,,,,,,,,,,,,,,,,2026,,,
43,2026_property_prices_in_tunisia,,apartment,360000.0,,Ariana,La Soukra,La Soukra,La Soukra,143.0,,3.0,,2.0,,,,,,,,,,,,,,,,2026,,,
44,2026_property_prices_in_tunisia,,apartment,360000.0,,Ariana,Ennasr,Ennasr,Ennasr,200.0,,4.0,,2.0,,,,,,,,,,,,,,,,2026,,,
45,2026_property_prices_in_tunisia,,apartment,350000.0,,Ariana,Ennasr,Ennasr,Ennasr,150.0,,3.0,,1.0,,,,,,,,,,,,,,,,2026,,,
46,2026_property_prices_in_tunisia,,apartment,300000.0,,Ariana,Ennasr,Ennasr,Ennasr,130.0,,2.0,,1.0,,,,,,,,,,,,,,,,2026,,,
47,2026_property_prices_in_tunisia,,apartment,158000.0,,Ariana,Jardins D'el Menzah,Jardins D'el Menzah,Jardins D'el Menzah,56.0,,1.0,,1.0,,,,,,,,,,,,,,,,2026,,,
48,2026_property_prices_in_tunisia,,apartment,300000.0,,Ariana,Ennasr,Ennasr,Ennasr,136.0,,2.0,,2.0,,,,,,,,,,,,,,,,2026,,,
49,2026_property_prices_in_tunisia,,apartment,275000.0,,Ariana,Jardins D'el Menzah,Jardins D'el Menzah,Jardins D'el Menzah,140.0,,3.0,,2.0,,,,,,,,,,,,,,,,2026,,,
50,2026_property_prices_in_tunisia,,apartment,150000.0,,Ariana,Raoued,Raoued,Raoued,110.0,,3.0,,1.0,,,,,,,,,,,,,,,,2026,,,
51,2026_property_prices_in_tunisia,,apartment,230000.0,,Ariana,Jardins D'el Menzah,Jardins D'el Menzah,Jardins D'el Menzah,100.0,,2.0,,1.0,,,,,,,,,,,,,,,,2026,,,
52,2026_property_prices_in_tunisia,,apartment,240000.0,,Ariana,Ennasr,Ennasr,Ennasr,120.0,,2.0,,1.0,,,,,,,,,,,,,,,,2026,,,
53,2026_property_prices_in_tunisia,,apartment,1050000.0,,Ariana,Jardins D'el Menzah,Jardins D'el Menzah,Jardins D'el Menzah,165.0,,3.0,,1.0,,,,,,,,,,,,,,,,2026,,,
54,2026_property_prices_in_tunisia,,apartment,330000.0,,Ariana,Ennasr,Ennasr,Ennasr,126.0,,2.0,,1.0,,,,,,,,,,,,,,,,2026,,,
55,2026_property_prices_in_tunisia,,house,880000.0,,Ariana,La Soukra,La Soukra,La Soukra,327.0,,5.0,,3.0,,,,,,,,,,,,,,,,2026,,,
56,2026_property_prices_in_tunisia,,house,1800000.0,,Ariana,La Soukra,La Soukra,La Soukra,434.0,,4.0,,5.0,,,,,,,,,,,,,,,,2026,,,
57,2026_property_prices_in_tunisia,,apartment,750000.0,,Ariana,La Soukra,La Soukra,La Soukra,278.0,,3.0,,3.0,,,,,,,,,,,,,,,,2026,,,
58,2026_property_prices_in_tunisia,,house,320000.0,,Ariana,Ariana Ville,Ariana Ville,Ariana Ville,210.0,,5.0,,3.0,,,,,,,,,,,,,,,,2026,,,
59,2026_property_prices_in_tunisia,,apartment,470000.0,,Ariana,La Soukra,La Soukra,La Soukra,186.0,,2.0,,2.0,,,,,,,,,,,,,,,,2026,,,
60,2026_property_prices_in_tunisia,,apartment,650000.0,,Ariana,La Soukra,La Soukra,La Soukra,188.0,,3.0,,3.0,,,,,,,,,,,,,,,,2026,,,
61,2026_property_prices_in_tunisia,,apartment,243000.0,,Ariana,Ennasr,Ennasr,Ennasr,87.0,,1.0,,1.0,,,,,,,,,,,,,,,,2026,,,
62,2026_property_prices_in_tunisia,,apartment,650000.0,,Ariana,La Soukra,La Soukra,La Soukra,165.0,,3.0,,3.0,,,,,,,,,,,,,,,,2026,,,
63,2026_property_prices_in_tunisia,,apartment,285000.0,,Ariana,Jardins D'el Menzah,Jardins D'el Menzah,Jardins D'el Menzah,130.0,,4.0,,2.0,,,,,,,,,,,,,,,,2026,,,
64,2026_property_prices_in_tunisia,,apartment,180000.0,,Ariana,Ennasr,Ennasr,Ennasr,60.0,,1.0,,1.0,,,,,,,,,,,,,,,,2026,,,
65,2026_property_prices_in_tunisia,,apartment,190000.0,,Ariana,Ennasr,Ennasr,Ennasr,75.0,,1.0,,1.0,,,,,,,,,,,,,,,,2026,,,
66,2026_property_prices_in_tunisia,,apartment,295000.0,,Ariana,Ariana Ville,Ariana Ville,Ariana Ville,138.0,,3.0,,2.0,,,,,,,,,,,,,,,,2026,,,
67,2026_property_prices_in_tunisia,,apartment,160000.0,,Ariana,Chotrana,Chotrana,Chotrana,72.0,,1.0,,1.0,,,,,,,,,,,,,,,,2026,,,
68,2026_property_prices_in_tunisia,,house,490000.0,,Ariana,Ariana,Ariana,Ariana,260.0,,4.0,,2.0,,,,,,,,,,,,,,,,2026,,,
69,2026_property_prices_in_tunisia,,apartment,109000.0,,Ariana,Chotrana,Chotrana,Chotrana,62.0,,2.0,,1.0,,,,,,,,,,,,,,,,2026,,,
70,2026_property_prices_in_tunisia,,house,650000.0,,Ariana,La Soukra,La Soukra,La Soukra,260.0,,4.0,,1.0,,,,,,,,,,,,,,,,2026,,,
71,2026_property_prices_in_tunisia,,apartment,150000.0,,Ariana,Borj Louzir,Borj Louzir,Borj Louzir,85.0,,3.0,,1.0,,,,,,,,,,,,,,,,2026,,,
72,2026_property_prices_in_tunisia,,apartment,85000.0,,Ariana,Ariana,Ariana,Ariana,52.0,,2.0,,1.0,,,,,,,,,,,,,,,,2026,,,
73,2026_property_prices_in_tunisia,,apartment,245000.0,,Ariana,Ariana,Ariana,Ariana,120.0,,3.0,,2.0,,,,,,,,,,,,,,,,2026,,,
74,2026_property_prices_in_tunisia,,apartment,339000.0,,Ariana,Ariana,Ariana,Ariana,153.0,,3.0,,2.0,,,,,,,,,,,,,,,,2026,,,
75,2026_property_prices_in_tunisia,,apartment,168000.0,,Ariana,Ghazela,Ghazela,Ghazela,115.0,,2.0,,1.0,,,,,,,,,,,,,,,,2026,,,
76,2026_property_prices_in_tunisia,,house,540000.0,,Ariana,Ariana,Ariana,Ariana,609.0,,3.0,,2.0,,,,,,,,,,,,,,,,2026,,,
77,2026_property_prices_in_tunisia,,house,370000.0,,Ariana,Ariana,Ariana,Ariana,161.0,,3.0,,2.0,,,,,,,,,,,,,,,,2026,,,
78,2026_property_prices_in_tunisia,,apartment,125000.0,,Ariana,Raoued,Raoued,Raoued,100.0,,3.0,,1.0,,,,,,,,,,,,,,,,2026,,,
79,2026_property_prices_in_tunisia,,apartment,230000.0,,Ariana,Ariana,Ariana,Ariana,70.0,,2.0,,1.0,,,,,,,,,,,,,,,,2026,,,
80,2026_property_prices_in_tunisia,,house,1700000.0,,Ariana,Ariana,Ariana,Ariana,1078.0,,3.0,,4.0,,,,,,,,,,,,,,,,2026,,,
81,2026_property_prices_in_tunisia,,apartment,210000.0,,Ariana,Ghazela,Ghazela,Ghazela,125.0,,3.0,,2.0,,,,,,,,,,,,,,,,2026,,,
82,2026_property_prices_in_tunisia,,house,650000.0,,Ariana,Ghazela,Ghazela,Ghazela,400.0,,3.0,,2.0,,,,,,,,,,,,,,,,2026,,,
83,2026_property_prices_in_tunisia,,house,530000.0,,Ariana,Ghazela,Ghazela,Ghazela,410.0,,4.0,,2.0,,,,,,,,,,,,,,,,2026,,,
84,2026_property_prices_in_tunisia,,house,175000.0,,Ariana,Ghazela,Ghazela,Ghazela,120.0,,4.0,,2.0,,,,,,,,,,,,,,,,2026,,,
85,2026_property_prices_in_tunisia,,apartment,441000.0,,Ariana,Ennasr,Ennasr,Ennasr,157.0,,4.0,,2.0,,,,,,,,,,,,,,,,2026,,,
86,2026_property_prices_in_tunisia,,apartment,570000.0,,Ariana,La Soukra,La Soukra,La Soukra,187.0,,3.0,,2.0,,,,,,,,,,,,,,,,2026,,,
87,2026_property_prices_in_tunisia,,apartment,145000.0,,Ariana,Jardins D'el Menzah,Jardins D'el Menzah,Jardins D'el Menzah,57.0,,1.0,,1.0,,,,,,,,,,,,,,,,2026,,,
88,2026_property_prices_in_tunisia,,house,840000.0,,Ariana,La Soukra,La Soukra,La Soukra,327.0,,5.0,,3.0,,,,,,,,,,,,,,,,2026,,,
89,2026_property_prices_in_tunisia,,apartment,330000.0,,Ariana,Jardins D'el Menzah,Jardins D'el Menzah,Jardins D'el Menzah,126.0,,2.0,,2.0,,,,,,,,,,,,,,,,2026,,,
90,2026_property_prices_in_tunisia,,house,480000.0,,Ariana,Ghazela,Ghazela,Ghazela,220.0,,5.0,,3.0,,,,,,,,,,,,,,,,2026,,,
91,2026_property_prices_in_tunisia,,apartment,340000.0,,Ariana,Ennasr,Ennasr,Ennasr,163.0,,3.0,,2.0,,,,,,,,,,,,,,,,2026,,,
92,2026_property_prices_in_tunisia,,apartment,220000.0,,Ariana,Ennasr,Ennasr,Ennasr,105.0,,2.0,,1.0,,,,,,,,,,,,,,,,2026,,,
93,2026_property_prices_in_tunisia,,apartment,360000.0,,Ariana,Ariana,Ariana,Ariana,153.0,,4.0,,1.0,,,,,,,,,,,,,,,,2026,,,
94,2026_property_prices_in_tunisia,,apartment,230000.0,,Ariana,Jardins D'el Menzah,Jardins D'el Menzah,Jardins D'el Menzah,120.0,,2.0,,1.0,,,,,,,,,,,,,,,,2026,,,
95,2026_property_prices_in_tunisia,,house,760000.0,,Ariana,La Soukra,La Soukra,La Soukra,380.0,,5.0,,4.0,,,,,,,,,,,,,,,,2026,,,
96,2026_property_prices_in_tunisia,,apartment,90000.0,,Ariana,Borj Louzir,Borj Louzir,Borj Louzir,100.0,,2.0,,1.0,,,,,,,,,,,,,,,,2026,,,
97,2026_property_prices_in_tunisia,,apartment,290000.0,,Ariana,La Soukra,La Soukra,La Soukra,140.0,,3.0,,2.0,,,,,,,,,,,,,,,,2026,,,
98,2026_property_prices_in_tunisia,,apartment,295000.0,,Ariana,Ennasr,Ennasr,Ennasr,170.0,,4.0,,2.0,,,,,,,,,,,,,,,,2026,,,
99,2026_property_prices_in_tunisia,,apartment,120000.0,,Ariana,Ariana,Ariana,Ariana,76.0,,3.0,,1.0,,,,,,,,,,,,,,,,2026,,,
100,2026_property_prices_in_tunisia,,house,750000.0,,Ariana,Ariana,Ariana,Ariana,686.0,,5.0,,3.0,,,,,,,,,,,,,,,,2026,,,
101,2026_property_prices_in_tunisia,,apartment,310000.0,,Ariana,Ennasr,Ennasr,Ennasr,160.0,,3.0,,1.0,,,,,,,,,,,,,,,,2026,,,
102,2026_property_prices_in_tunisia,,apartment,95000.0,,Ariana,Borj Louzir,Borj Louzir,Borj Louzir,130.0,,4.0,,1.0,,,,,,,,,,,,,,,,2026,,,
103,2026_property_prices_in_tunisia,,apartment,310000.0,,Ariana,La Soukra,La Soukra,La Soukra,100.0,,2.0,,2.0,,,,,,,,,,,,,,,,2026,,,
104,2026_property_prices_in_tunisia,,house,310000.0,,Ariana,Jardins D'el Menzah,Jardins D'el Menzah,Jardins D'el Menzah,350.0,,5.0,,2.0,,,,,,,,,,,,,,,,2026,,,
105,2026_property_prices_in_tunisia,,apartment,160000.0,,Ariana,Chotrana,Chotrana,Chotrana,72.0,,2.0,,1.0,,,,,,,,,,,,,,,,2026,,,
106,2026_property_prices_in_tunisia,,apartment,220000.0,,Ariana,Borj Louzir,Borj Louzir,Borj Louzir,110.0,,3.0,,1.0,,,,,,,,,,,,,,,,2026,,,
